Age,Gender,Major,Distance (km),Mode of Transportation,Traffic,Commute Time (min)
22,Female,Engineering,10.7,Car,Medium,107
30,Male,EEE,14.1,Bus,Medium,169.2
28,Female,Engineering,4.6,Bus,High,69
24,,Engineering,4.2,,Medium,42
20,Male,,8.4,Bus,Low,67.2
21,Male,CSE,5.6,Car,High,78.4
30,Female,CSE,6,Bus,Medium,72
22,Male,,14.7,Car,High,205.8
23,Female,CSE,4.1,Bus,High,61.5
29,Male,EEE,5.7,Car,Medium,57
26,Female,,4.3,Car,Low,30.1
23,Female,CSE,14.1,Bus,Low,112.8
29,Male,EEE,10.4,Car,High,145.6
19,Male,Business,9.5,,Low,66.5
23,Female,CSE,2.2,Car,High,30.8
22,Female,CSE,9.4,Car,Medium,94
21,Male,,9.8,Bus,Medium,117.6
27,Male,EEE,5.5,Bus,Medium,66
19,,Business,7.2,Bus,Medium,86.4
25,Female,CSE,7.7,Bus,Medium,77
29,Female,EEE,3.6,Bus,Low,25.2
22,Male,EEE,13.8,Bus,Medium,138
26,Male,EEE,14.5,Bus,Low,116
20,Female,Engineering,1.5,Rickshaw,Low,18
23,Female,Engineering,7,Car,Low,49
18,Female,Business,0.5,Rickshaw,High,9
25,Male,,11.8,Car,High,165.2
19,Female,EEE,7.6,Car,Low,53.2
18,Female,Engineering,10.6,Car,High,148.4
25,Male,EEE,14.8,Bus,High,222
18,Male,CSE,7.5,Car,Low,52.5
30,Female,Business,6.5,Car,Medium,65
18,Female,,11.1,Bus,High,166.5
23,Male,Business,7.5,Car,Low,52.5
24,Female,Business,4,Car,Low,28
25,Male,EEE,8,Bus,Low,64
28,Female,Business,10.3,Car,High,144.2
22,Female,Engineering,8.7,Car,Medium,87
18,Male,EEE,10.5,Bus,High,157.5
23,Female,Engineering,11.3,Bus,High,169.5
29,Male,EEE,13.4,Car,Medium,134
29,Male,,7.1,,Medium,85.2
22,Female,Engineering,7.8,Bus,Low,62.4
19,Female,Engineering,14.8,Bus,Medium,177.6
29,Male,,11.3,Car,High,158.2
21,Male,Business,6.9,Car,Low,48.3
28,Female,EEE,13.3,Bus,High,199.5
21,Female,,12.5,Bus,Medium,150
25,Male,CSE,11,Bus,High,200
25,Male,,2,Walk,Low,20
25,Male,CSE,4,Bus,Medium,120
24,Female,CSE,4.3,Bus,High,120
25,Male,CSE,6,,Medium,65
25,Male,CSE,9,,Medium,90
25,Male,,4,Bus,High,100
25,Male,CSE,16,Bus,High,220
25,Male,CSE,6,Bus,High,60
24,Male,CSE,2,rickshaw,Medium,35
25,Male,,5,Bus,Medium,60
25,Male,CSE,10,Car,High,75
25,Male,CSE,3,Bus,Medium,40
25,Male,EEE,6,,High,90
27,Male,CSE,15,Bus,Medium,180
23,Male,CSE,11,Car,High,90
25,Male,,7,Bus,High,200
26,Male,CSE,8.5,Bus,Medium,150
